Options:
Model:                           Independent Contrasts
Tree File Name:                  cs_og.trees
Data File Name:                  cs_vr_og.txt
Log File Name:                   cs_vr_og.txt.log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1415656694
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   4000
Iterations:                      10000000
Burn in:                         6000000
MCMC ML Start:                   False
Schedule File:                   cs_vr_og.txt.log.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                            Not in use
Delta:                            Not in use
Lambda:                           Not in use
OU:                               Not in use
Using VarRates:                  True
Tags:	1
	ants	181	Leptanilla_sp. Leptanilla_GRE01 Leptanilla_RSA01 Onychomyrmex_hedleyi Prionopelta_sp.2 Prionopelta_MAD01 Amblyopone_mutica Amblyopone_pallipes Mystrium_rogeri Mystrium_mysticum Probolomyrmex_tani Probolomyrmex_sp. Proceratium_sp.1 Proceratium_stictum Platythyrea_punctata Platythyrea_mocquerysi Simopelta_cf_pergandei Dinoponera_gigantea Thaumatomyrmex_atrox Hypoponera_sakalava Hypoponera_inexorata Hypoponera_opacior Centromyrmex_feae Centromyrmex_sellaris Plectroctena_ugandensis Diacamma_sp. Pachycondyla_stigma Myopias_lobosa Pachycondyla_sikorae Leptogenys_diminuta Leptogenys_sp. Odontoponera_transversa Odontomachus_coquereli Odontomachus_clarus Cerapachys_Yunodorylus_sexspinus Aenictus_sp.2 Aenictus_eugenii Aenictus_sp.1 Aenictus_ceylonicus Dorylus_laevigatus Dorylus_helvolus Dorylus_wilverthi Dorylus_mayri Cerapachys_augustae Cerapachys_larvatus Labidus_spininodis Neivamyrmex_nigrescens Nomamyrmex_esenbecki Eciton_vagans Eciton_hamatum Nothomyrmecia_macrops Myrmecia_fulviculis Myrmecia_pyriformis Pseudomyrmex_gracilis Pseudomyrmex_apache Aneuretus_simoni Dolichoderus_scabridus Dolichoderus_imitator Technomyrmex_difficilis Technomyrmex_MAD05 Technomyrmex_albipes Tapinoma_opacum Tapinoma_sessile Forelius_sp. Dorymyrmex_bicolor Dorymyrmex_elegans Linepithema_keiteli Linepithema_humile Myrmelachista_sp. Brachymyrmex_depilis Brachymyrmex_sp. Paratrechina_sp. Paratrechina_hystrix Prenolepis_imparis Prenolepis_albimaculata Myrmoteras_williamsi Myrmoteras_iriodum Opisthopsis_sp. Camponotus_conithorax Camponotus_BCA01 Polyrhachis_Cyrto01 Polyrhachis_c.f._vindex Polyrhachis_Hagio01 Camponotus_maritimus Camponotus_hyatti Camponotus_ocreatus Anoplolepis_gracillipes Plagiolepis_sp. Acropyga_epedana Acropyga_acutiventris Myrmecocystus_mexicanus Lasius_alienus Myrmecocystus_flaviceps Lasius_californicus Melophorus_sp. Oecophylla_smaragdina Cataglyphis_ibericus Proformica_nasuta Polyergus_briviceps Formica_wheeleri Formica_moki Heteroponera_microps Heteroponera_panamensis Ectatomma_opaciventre Ectatomma_quadridens Rhytidoponera_chalybaea Rhytidoponera_metallica Gnamptogenys_sp. Gnamptogenys_striatula Typhlomyrmex_rogenhoferi Pogonomyrmex_maricopa Pogonomyrmex_subdentatus Myrmica_incompleta Myrmica_striolagaster Myrmica_tahoensis Aphaenogaster_albisetosa Messor_julianus Messor_andrei Aphaenogaster_swammerdami Messor_denticornis Aphaenogaster_texana Aphaenogaster_occidentalis Monomorium_ergatogyna Myrmicaria_exigua Myrmicaria_brunnea Megalomyrmex_latreillei Solenopsis_molesta Solenopsis_invicta Solenopsis_xyloni Pheidole_rhea Pheidole_hyatti Pheidole_clydei Cephalotes_unimaculatus Procryptocerus_scabriusculus Procryptocerus_batesi Basiceros_manni Eurhopalothrix_sp. Eurhopalothrix_bolaui Strumigenys_dicomas Pyramica_hoplites Pyramica_pulchella Strumigenys_sp. Wasmannia_sp. Myrmicocrypta_cf_infuscata Apterostigma_sp. Apterostigma_auriculatum Orectognathus_versicolor Daceton_armigerum Cyphomyrmex_sp. Trachymyrmex_jamaicensis Sericomyrmex_sp. Atta_sp. Trachymyrmex_arizonensis Acromyrmex_versicolor Myrmecina_graminicola Temnothorax_tricarinatus Temnothorax_rugatulus Leptothorax_muscorum_complex Leptothorax_sp. Xenomyrmex_floridanus Cardiocondyla_mauritanica Cardiocondyla_emeryi Terataner_sp. Tetramorium_validiusculum Tetramorium_hispidum Tetramorium_caespitum Dilobocondyla_sp. Eutetramorium_sp. Proatta_butteli Lophomyrmex_striatulus Ocymyrmex_picardi Monomorium_destructor Pristomyrmex_sp. Cataulacus_sp. Cataulacus_MAD02 Nesomyrmex_echinatinodis Metapone_madagascarica Crematogaster_navajoa Crematogaster_emeryana Pheidologeton_sp. Carebara_sp. 
Save Model:                      cs_vr_mods.txt
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -0.00 0.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        AncState-1 - uniform -100.00 100.00 
Node reconstruction / fossilisation:
	MRCA ants ants
Tree Information
     Trees:                      1
     Taxa:                       182
     Sites:                      1
Iteration	Lh	Harmonic Mean	Tree No	Alpha 1	Sigma^2 1	ants Alpha	No RJ Local Branch	No RJ Local Node	
6004000	-411.942354	-411.942354	1	0.000000980036	0.074131165246	5.494350	19	10	
6008000	-402.432131	-411.249281	1	-0.000000163822	0.076708443610	5.237055	17	12	
6012000	-394.802620	-410.843816	1	-0.000000736182	0.056315029509	4.917647	21	15	
6016000	-414.116129	-412.837572	1	0.000000928509	0.082937389610	5.468924	20	8	
6020000	-399.748134	-412.614429	1	-0.000000935442	0.074232861271	4.975993	20	11	
6024000	-400.626314	-412.432109	1	0.000000413540	0.085556616953	4.308072	17	9	
6028000	-405.860678	-412.278191	1	-0.000000764575	0.076169223494	5.128329	16	8	
6032000	-405.127028	-412.144772	1	-0.000000883452	0.051791437388	5.010924	21	11	
6036000	-402.049041	-412.026994	1	-0.000000137965	0.047772867592	4.943308	17	12	
6040000	-401.264942	-411.921636	1	0.000000275479	0.052799602207	4.933668	23	11	
6044000	-396.813832	-411.826326	1	0.000000343240	0.065754870943	4.972417	22	8	
6048000	-413.702561	-412.205269	1	-0.000000856814	0.108954035503	5.399517	15	6	
6052000	-413.995693	-412.530246	1	-0.000000286921	0.095321263466	5.309455	12	10	
6056000	-407.379177	-412.456584	1	0.000000249104	0.081216781230	5.616121	17	10	
6060000	-404.880881	-412.387628	1	0.000000089500	0.074471479750	4.606085	15	11	
6064000	-405.654573	-412.323169	1	-0.000000928121	0.070634130705	5.309140	16	14	
6068000	-412.451607	-412.331198	1	0.000000802621	0.061880641352	5.382647	11	10	
6072000	-417.344471	-414.561190	1	-0.000000133109	0.102859902081	5.508959	25	8	
6076000	-407.119797	-414.507155	1	0.000000323555	0.087816040325	4.700746	19	7	
6080000	-405.034039	-414.455866	1	-0.000000691407	0.070620423677	4.679786	14	9	
6084000	-403.715771	-414.407077	1	0.000000385369	0.056972330132	5.069047	20	11	
6088000	-402.799859	-414.360557	1	-0.000000843151	0.082404571148	5.591530	18	11	
6092000	-400.290226	-414.316106	1	0.000000740840	0.078235881389	4.996303	21	7	
6096000	-406.106380	-414.273558	1	0.000000173709	0.087822663486	4.491683	15	9	
6100000	-389.827482	-414.232736	1	-0.000000947233	0.065554295849	4.491708	18	12	
6104000	-398.844398	-414.193515	1	-0.000000770207	0.060356482646	4.485483	18	12	
6108000	-386.543671	-414.155775	1	0.000000719225	0.066991144344	5.047693	21	11	
6112000	-413.240007	-414.134121	1	-0.000000877266	0.072422584344	5.293579	24	10	
6116000	-403.277666	-414.099030	1	-0.000000976606	0.073465683516	5.259355	17	9	
6120000	-404.567319	-414.065131	1	0.000000887967	0.066542208943	4.327227	22	11	
6124000	-402.305099	-414.032342	1	0.000000438728	0.069932658771	5.579445	14	13	
6128000	-387.309818	-414.000593	1	-0.000000150847	0.056958290158	5.112223	22	13	
6132000	-405.218963	-413.969826	1	-0.000000797046	0.080474405339	5.456455	18	14	
6136000	-411.377468	-413.942238	1	-0.000000571436	0.089221420143	5.294137	14	11	
6140000	-402.424700	-413.913251	1	-0.000000912245	0.072391106698	5.300292	15	10	
6144000	-407.143274	-413.885113	1	0.000000585892	0.060445673360	5.429302	13	13	
6148000	-407.044579	-413.857744	1	-0.000000587670	0.091519652165	4.529915	19	9	
6152000	-417.810691	-414.709790	1	0.000000478334	0.070753399524	5.468203	22	8	
6156000	-406.018873	-414.683819	1	-0.000000776857	0.076465953908	5.527247	13	13	
6160000	-398.489326	-414.658501	1	0.000000030057	0.059978069655	5.488126	13	15	
6164000	-401.209148	-414.633808	1	-0.000000855993	0.065552878575	5.089352	23	15	
6168000	-401.010909	-414.609711	1	0.000000467928	0.079546420499	5.177732	20	11	
6172000	-418.957500	-415.630214	1	-0.000000924447	0.139197934735	5.597631	20	6	
6176000	-397.618564	-415.607224	1	-0.000000779696	0.064154753930	4.825870	24	11	
6180000	-412.231258	-415.585528	1	-0.000000048753	0.095247263704	4.816725	21	13	
6184000	-397.470489	-415.563549	1	0.000000323538	0.077859059063	4.751517	28	11	
6188000	-414.178662	-415.547471	1	-0.000000848038	0.081896638207	5.125866	14	10	
6192000	-419.255936	-416.151230	1	0.000000701726	0.076703585594	4.973611	19	8	
6196000	-403.021746	-416.130611	1	-0.000000441842	0.058251363917	4.993663	18	10	
6200000	-412.121392	-416.110779	1	-0.000000894366	0.109287110585	5.475551	16	7	
6204000	-404.260934	-416.090976	1	-0.000000947135	0.078502120545	4.734243	21	6	
6208000	-394.401862	-416.071558	1	-0.000000213312	0.088839059745	4.808572	19	8	
6212000	-406.099015	-416.052511	1	-0.000000725956	0.099665580643	5.230473	16	10	
6216000	-410.803551	-416.033918	1	0.000000309601	0.098165539190	5.496425	18	10	
6220000	-401.113594	-416.015569	1	0.000000639437	0.119452595426	5.027723	19	7	
6224000	-407.301306	-415.997553	1	0.000000550532	0.097070247167	4.535835	13	10	
6228000	-410.205587	-415.979908	1	-0.000000768024	0.099945191181	5.288361	15	8	
6232000	-404.436101	-415.962516	1	0.000000871716	0.091605991072	5.172577	20	6	
6236000	-399.817581	-415.945422	1	0.000000280490	0.094727114704	5.520001	25	9	
6240000	-412.695758	-415.929272	1	0.000000209877	0.066855476236	4.893101	18	15	
6244000	-395.643843	-415.912743	1	-0.000000503729	0.058192192445	5.184843	20	9	
6248000	-398.535275	-415.896482	1	0.000000966503	0.058548661935	5.114923	18	8	
