Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1366	0.345534	1378	0.077649	144	0.444444	1112	0.289568	0.000007	703	0.294452	0.078011	663	0.399698	45.173716	1112	0.289568	0.241250	0.227486	
1308	0.323394	1414	0.070721	148	0.486486	1130	0.330088	0.000007	701	0.303852	0.077915	607	0.345964	45.173716	1130	0.330088	0.242000	0.227495	
1393	0.288586	1352	0.082101	129	0.472868	1126	0.267318	0.000007	696	0.313218	0.077864	697	0.263989	45.173716	1126	0.267318	0.218750	0.227489	
1372	0.336735	1411	0.073707	128	0.460938	1089	0.279155	0.000007	666	0.312312	0.077840	706	0.359773	45.173716	1089	0.279155	0.232250	0.227493	
1395	0.307527	1383	0.068691	136	0.448529	1086	0.297422	0.000007	695	0.289209	0.077784	700	0.325714	45.173716	1086	0.297422	0.227000	0.227492	
1363	0.330888	1373	0.082302	133	0.503759	1131	0.283820	0.000007	702	0.337607	0.077742	661	0.323752	45.173716	1131	0.283820	0.238000	0.227499	
1385	0.301083	1355	0.073801	132	0.416667	1128	0.297872	0.000007	703	0.295875	0.077711	682	0.306452	45.173716	1128	0.297872	0.227000	0.227499	
1358	0.293814	1356	0.061947	134	0.522388	1152	0.281250	0.000007	691	0.322721	0.077661	667	0.263868	45.173716	1152	0.281250	0.219250	0.227493	
1422	0.251055	1355	0.086347	137	0.445255	1086	0.301105	0.000007	729	0.292181	0.077642	693	0.207792	45.173716	1086	0.301105	0.215500	0.227486	
1379	0.287890	1355	0.084871	138	0.434783	1128	0.281028	0.000007	698	0.315186	0.077645	681	0.259912	45.173716	1128	0.281028	0.222250	0.227482	
1347	0.266518	1347	0.075724	147	0.523810	1159	0.325280	0.000007	682	0.304985	0.077618	665	0.227068	45.173716	1159	0.325280	0.228750	0.227483	
1355	0.289299	1352	0.071746	151	0.430464	1142	0.314361	0.000007	667	0.311844	0.077583	688	0.267442	45.173716	1142	0.314361	0.228250	0.227483	
1394	0.373745	1399	0.063617	124	0.427419	1083	0.300092	0.000007	700	0.274286	0.077556	694	0.474063	45.173716	1083	0.300092	0.247000	0.227496	
1375	0.244364	1388	0.062680	130	0.530769	1107	0.324300	0.000007	724	0.303867	0.138582	651	0.178187	45.173716	1107	0.324300	0.212750	0.227487	
1355	0.256089	1370	0.079562	139	0.424460	1136	0.279049	0.000007	689	0.303338	0.130259	666	0.207207	45.173716	1136	0.279049	0.208000	0.227474	
1445	0.311419	1345	0.066914	161	0.490683	1049	0.282173	0.000007	717	0.308229	0.078563	728	0.314560	45.173716	1049	0.282173	0.228750	0.227475	
1375	0.277818	1408	0.085938	168	0.529762	1049	0.308866	0.000007	665	0.312782	0.078502	710	0.245070	45.173716	1049	0.308866	0.229000	0.227476	
1401	0.313348	1394	0.073171	137	0.583942	1068	0.311798	0.000007	706	0.313031	0.078443	695	0.313669	45.173716	1068	0.311798	0.238500	0.227483	
1363	0.323551	1462	0.086867	120	0.591667	1055	0.296682	0.000007	717	0.290098	0.078513	646	0.360681	45.173716	1055	0.296682	0.238000	0.227490	
1358	0.319588	1389	0.072714	148	0.479730	1105	0.307692	0.000007	727	0.292985	0.078805	631	0.350238	45.173716	1105	0.307692	0.236500	0.227496	
1375	0.275636	1357	0.061901	159	0.440252	1109	0.350766	0.000007	688	0.299419	0.079258	687	0.251820	45.173716	1109	0.350766	0.230500	0.227498	
1373	0.285506	1428	0.058824	156	0.500000	1043	0.330777	0.000007	689	0.303338	0.079869	684	0.267544	45.173716	1043	0.330777	0.224750	0.227496	
1351	0.293856	1458	0.074760	121	0.429752	1070	0.337383	0.000007	674	0.318991	0.080316	677	0.268833	45.173716	1070	0.337383	0.229750	0.227497	
1359	0.301692	1406	0.076814	150	0.380000	1085	0.314286	0.000007	646	0.303406	0.080345	713	0.300140	45.173716	1085	0.314286	0.229000	0.227498	
1373	0.321923	1382	0.062229	132	0.424242	1113	0.285714	0.000007	679	0.318115	0.080684	694	0.325648	45.173716	1113	0.285714	0.225500	0.227497	
1411	0.301914	1366	0.068814	124	0.475806	1099	0.293904	0.000007	698	0.308023	0.080990	713	0.295933	45.173716	1099	0.293904	0.225500	0.227496	
1374	0.319505	1390	0.071942	137	0.335766	1099	0.358508	0.000007	693	0.343434	0.081020	681	0.295154	45.173716	1099	0.358508	0.244750	0.227507	
1379	0.300943	1376	0.078488	147	0.523810	1098	0.336066	0.000007	696	0.291667	0.081038	683	0.310395	45.173716	1098	0.336066	0.242250	0.227517	
1356	0.308997	1434	0.073919	140	0.457143	1070	0.341121	0.000007	680	0.289706	0.081050	676	0.328402	45.173716	1070	0.341121	0.238500	0.227524	
1360	0.320588	1403	0.074840	124	0.443548	1113	0.300090	0.000007	675	0.314074	0.081090	685	0.327007	45.173716	1113	0.300090	0.232500	0.227527	
1430	0.314685	1394	0.084648	130	0.515385	1046	0.272467	0.000007	717	0.292887	0.081102	713	0.336606	45.173716	1046	0.272467	0.230000	0.227529	
1416	0.306497	1385	0.066426	132	0.522727	1067	0.301781	0.000007	696	0.307471	0.081108	720	0.305556	45.173716	1067	0.301781	0.229250	0.227530	
